,courses_id,course_name,department_id
1,ACCT 3220, Corporate Financial Reporting 1,ACCT
2,ACCT 3225, Corporate Financial Reporting,ACCT
3,ACCT 3230, Corporate Financial Reporting 2,ACCT
4,ACCT 3320, Cost Management,ACCT
5,ACCT 3440, Income Taxation of Individuals,ACCT
6,ACCT 3700, Accounting in a Global Economy,ACCT
7,ACCT 4240, Advanced Financial Accounting,ACCT
8,ACCT 4250, Financial Statement Analysis,ACCT
9,ACCT 4540, Accounting Information Systems,ACCT
10,ACCT 4620, Auditing and Assurance Services,ACCT
11,ACCT 4821, Experimental Seminar: Financial Report for Complex Transactions,ACCT
12,ACCT 4850, Senior Seminar - Accounting Ethics,ACCT
13,ACCT 4900, Independent Study,ACCT
14,ACCT 5100, Oil and Gas Accounting,ACCT
15,ACCT 5120, Business Analytics,ACCT
16,ACCT 5240, Advanced Financial Accounting,ACCT
17,ACCT 5250, Financial Statement Analysis,ACCT
18,ACCT 5450, Income Taxation of Business Entities,ACCT
19,ACCT 5540, Accounting Information Systems,ACCT
20,ACCT 5550, Data Analytics for Accounting,ACCT
21,ACCT 5620, Auditing and Assurance Services,ACCT
22,ACCT 5700, International Accounting,ACCT
23,ACCT 5820, Topics in Business,ACCT
24,ACCT 5827, Integrated Reporting for Socially Responsible Strategies,ACCT
25,ACCT 6000, Academic Internship in Accounting,ACCT
26,ACCT 6220, Corporate Financial Reporting,ACCT
27,ACCT 6250, Financial Statement Analysis,ACCT
28,ACCT 6260, Seminar: Managerial Accounting,ACCT
29,ACCT 6290, Textual Analysis in Business,ACCT
30,ACCT 6350, Current Issues in Professional Accounting--Accounting Ethics,ACCT
31,ACCT 6420, Research and Writing in Income Taxation,ACCT
32,ACCT 6430, Taxation of Partnerships,ACCT
33,ACCT 6450, Taxation of Corporations,ACCT
34,ACCT 6620, Advanced Auditing: Business Risk and Decision Analysis,ACCT
35,ACCT 6700, Income Taxation,ACCT
36,ACCT 6710, Federal Estate and Gift Tax,ACCT
37,ACCT 6720, Estate Planning,ACCT
38,ACCT 6780, US International Taxation,ACCT
39,ACCT 6900, Independent Study,ACCT
40,ACCT 6940, Master's Candidate for Degree,ACCT
41,ACCT 6950, Master's Thesis,ACCT
42,ACCT 7300, Doctoral Seminar: Introduction to Accounting Research,ACCT
43,ACCT 7320, Doctoral Seminar: Accounting and Capital Markets I,ACCT
44,ACCT 7330, Doctoral Seminar: Accounting and Capital Markets 2,ACCT
45,ACCT 7340, Doctoral Seminar: Managerial Accounting Research,ACCT
46,ACCT 7800, Doctoral Seminar: Accounting Theory,ACCT
47,ACCT 7830, Doctoral Seminar: Accounting Research,ACCT
48,ACCT 8820, Graduate Seminar,ACCT
49,ACCT 8900, Independent Study,ACCT
50,ACCT 8990, Doctoral Dissertation,ACCT
51,APRD 1003, Principles of Strategic Communication,APRD
52,APRD 1004, Fundamentals of Grammar,APRD
53,APRD 2001, Strategic Thinking in Advertising and Public Relations,APRD
54,APRD 2004, Introduction to Research Methods and Insights,APRD
55,APRD 2005, Strategic Communication Writing,APRD
56,APRD 2006, Software and Design Applications,APRD
57,APRD 3000, Intermediate Creative Concepts,APRD
58,APRD 3001, Visual Design,APRD
59,APRD 3002, Communication Platforms,APRD
60,APRD 3003, Strategic Communication Research Methods,APRD
61,APRD 3004, Account Management,APRD
62,APRD 3005, Content Strategy and User Engagement,APRD
63,APRD 3006, History of Advertising,APRD
64,APRD 3007, Curiosity for Strategists,APRD
65,APRD 3008, Qualitative Research Methods,APRD
66,APRD 3009, Brand Solutions,APRD
67,APRD 3010, Consumer Insights,APRD
68,APRD 3100, User Experience & User Interface Design,APRD
69,APRD 3102, Story Design I,APRD
70,APRD 3103, Strategic Writing for Public Relations,APRD
71,APRD 3104, Digital Storytelling for Public Relations,APRD
72,APRD 3105, Public Relations Strategy and Implementation,APRD
73,APRD 3112, International Public Relations,APRD
74,APRD 3300, Crisis Communication in Public Relations,APRD
75,APRD 3301, Social Media Strategies,APRD
76,APRD 3302, Case Studies in Public Relations,APRD
77,APRD 3400, Concept Design,APRD
78,APRD 3401, Concept Design II,APRD
79,APRD 3402, Video Design,APRD
80,APRD 3500, Story Design II,APRD
81,APRD 3501, Software Applications 2,APRD
82,APRD 3503, Concepting,APRD
83,APRD 3504, Software Applications 3,APRD
84,APRD 3523, The Art and Strategy of Science Communication: Branding Climate Change,APRD
85,APRD 3700, Field Study in Strategic Communication,APRD
86,APRD 4000, Public Relations Event Planning,APRD
87,APRD 4010, Strategic Health Communication,APRD
88,APRD 4100, Brands and Culture,APRD
89,APRD 4101, Advertising Media Planning,APRD
90,APRD 4102, Sustainable Brand Practices: Ethics Cases in Advertising and PR,APRD
91,APRD 4300, Strategic Communication Analytics and Metrics,APRD
92,APRD 4301, Social Media Listening,APRD
93,APRD 4302, Marketing Data Visualization,APRD
94,APRD 4303, Search Advertising Strategies,APRD
95,APRD 4403, Strategic Communication Campaigns,APRD
96,APRD 4404, Advanced Ad Campaigns NSAC,APRD
97,APRD 4405, Strategic Communication Capstone,APRD
98,APRD 4406, Advanced PR Campaigns BATEMAN COMPETITION,APRD
99,APRD 4453, Advertising and Society,APRD
100,APRD 4501, Design for Social Innovation,APRD
101,APRD 4503, Portfolio 1,APRD
102,APRD 4504, Copywriting Seminar,APRD
103,APRD 4505, Art Direction Seminar,APRD
104,APRD 4506, Creative Track Portfolio Development I,APRD
105,APRD 4507, Creative Track Portfolio Development II,APRD
106,APRD 4523, Portfolio 2,APRD
107,APRD 4543, Strategic Brand Management,APRD
108,APRD 4600, Media Design Portfolio I,APRD
109,APRD 4601, Media Design Portfolio II,APRD
110,APRD 4700, Advertising Intensive,APRD
111,APRD 4841, Undergraduate Independent Study,APRD
112,APRD 4873, Special Topics,APRD
113,APRD 4931, Internship,APRD
114,APRD 5001, Foundations of Strategic Brand Design,APRD
115,APRD 5002, Experience Design Foundations,APRD
116,APRD 5003, Toward a Unified Theory of Brand Equity,APRD
117,APRD 5004, UX and the Digital Delivery of Products and Services,APRD
118,APRD 5005, Foundations of Critical Making,APRD
119,APRD 5006, Introduction to Designing for Entrepreneurism,APRD
120,APRD 5007, Immersive Media Design Through Critical Making,APRD
121,APRD 5008, Access to Tools for Entrepreneurism by Design,APRD
122,APRD 5010, Design Sprint,APRD
123,APRD 5011, Book Lab,APRD
124,APRD 5012, Entrepreneurship and Product Innovation by Design,APRD
125,APRD 5013, Designing for Branded Experiences,APRD
126,APRD 5014, Advanced Practices and Tools of Experience Design,APRD
127,APRD 5015, Brand Design for Sustainable Futures,APRD
128,APRD 5016, Experience Design and Narratives of Interaction,APRD
129,APRD 5017, Parametric Product Design Through Critical Making,APRD
130,APRD 5019, Physical Computing and the Design of Sustainable Change,APRD
131,APRD 5841, Graduate Independent Study,APRD
132,APRD 5851, Graduate Professional Project,APRD
133,APRD 5931, Internship,APRD
134,APRD 6342, Digital Advertising,APRD
