courses_id,course_name,department_id,department_name
ACCT 3220,Corporate Financial Reporting 1,ACCT,Department of Accounting
ACCT 3225,Corporate Financial Reporting,ACCT,Department of Accounting
ACCT 3230,Corporate Financial Reporting 2,ACCT,Department of Accounting
ACCT 3320,Cost Management,ACCT,Department of Accounting
ACCT 3440,Income Taxation of Individuals,ACCT,Department of Accounting
ACCT 3700,Accounting in a Global Economy,ACCT,Department of Accounting
ACCT 4240,Advanced Financial Accounting,ACCT,Department of Accounting
ACCT 4250,Financial Statement Analysis,ACCT,Department of Accounting
ACCT 4540,Accounting Information Systems,ACCT,Department of Accounting
ACCT 4620,Auditing and Assurance Services,ACCT,Department of Accounting
ACCT 4821,Experimental Seminar: Financial Report for Complex Transactions,ACCT,Department of Accounting
ACCT 4850,Senior Seminar - Accounting Ethics,ACCT,Department of Accounting
ACCT 4900,Independent Study,ACCT,Department of Accounting
ACCT 5100,Oil and Gas Accounting,ACCT,Department of Accounting
ACCT 5120,Business Analytics,ACCT,Department of Accounting
ACCT 5240,Advanced Financial Accounting,ACCT,Department of Accounting
ACCT 5250,Financial Statement Analysis,ACCT,Department of Accounting
ACCT 5450,Income Taxation of Business Entities,ACCT,Department of Accounting
ACCT 5540,Accounting Information Systems,ACCT,Department of Accounting
ACCT 5550,Data Analytics for Accounting,ACCT,Department of Accounting
ACCT 5620,Auditing and Assurance Services,ACCT,Department of Accounting
ACCT 5700,International Accounting,ACCT,Department of Accounting
ACCT 5820,Topics in Business,ACCT,Department of Accounting
ACCT 5827,Integrated Reporting for Socially Responsible Strategies,ACCT,Department of Accounting
ACCT 6000,Academic Internship in Accounting,ACCT,Department of Accounting
ACCT 6220,Corporate Financial Reporting,ACCT,Department of Accounting
ACCT 6250,Financial Statement Analysis,ACCT,Department of Accounting
ACCT 6260,Seminar: Managerial Accounting,ACCT,Department of Accounting
ACCT 6290,Textual Analysis in Business,ACCT,Department of Accounting
ACCT 6350,Current Issues in Professional Accounting--Accounting Ethics,ACCT,Department of Accounting
ACCT 6420,Research and Writing in Income Taxation,ACCT,Department of Accounting
ACCT 6430,Taxation of Partnerships,ACCT,Department of Accounting
ACCT 6450,Taxation of Corporations,ACCT,Department of Accounting
ACCT 6620,Advanced Auditing: Business Risk and Decision Analysis,ACCT,Department of Accounting
ACCT 6700,Income Taxation,ACCT,Department of Accounting
ACCT 6710,Federal Estate and Gift Tax,ACCT,Department of Accounting
ACCT 6720,Estate Planning,ACCT,Department of Accounting
ACCT 6780,US International Taxation,ACCT,Department of Accounting
ACCT 6900,Independent Study,ACCT,Department of Accounting
ACCT 6940,Master's Candidate for Degree,ACCT,Department of Accounting
ACCT 6950,Master's Thesis,ACCT,Department of Accounting
ACCT 7300,Doctoral Seminar: Introduction to Accounting Research,ACCT,Department of Accounting
ACCT 7320,Doctoral Seminar: Accounting and Capital Markets I,ACCT,Department of Accounting
ACCT 7330,Doctoral Seminar: Accounting and Capital Markets 2,ACCT,Department of Accounting
ACCT 7340,Doctoral Seminar: Managerial Accounting Research,ACCT,Department of Accounting
ACCT 7800,Doctoral Seminar: Accounting Theory,ACCT,Department of Accounting
ACCT 7830,Doctoral Seminar: Accounting Research,ACCT,Department of Accounting
ACCT 8820,Graduate Seminar,ACCT,Department of Accounting
ACCT 8900,Independent Study,ACCT,Department of Accounting
ACCT 8990,Doctoral Dissertation,ACCT,Department of Accounting
APRD 1003,Principles of Strategic Communication,APRD,Department of Applied Research and Design
APRD 1004,Fundamentals of Grammar,APRD,Department of Applied Research and Design
APRD 2001,Strategic Thinking in Advertising and Public Relations,APRD,Department of Applied Research and Design
APRD 2004,Introduction to Research Methods and Insights,APRD,Department of Applied Research and Design
APRD 2005,Strategic Communication Writing,APRD,Department of Applied Research and Design
APRD 2006,Software and Design Applications,APRD,Department of Applied Research and Design
APRD 3000,Intermediate Creative Concepts,APRD,Department of Applied Research and Design
APRD 3001,Visual Design,APRD,Department of Applied Research and Design
APRD 3002,Communication Platforms,APRD,Department of Applied Research and Design
APRD 3003,Strategic Communication Research Methods,APRD,Department of Applied Research and Design
APRD 3004,Account Management,APRD,Department of Applied Research and Design
APRD 3005,Content Strategy and User Engagement,APRD,Department of Applied Research and Design
APRD 3006,History of Advertising,APRD,Department of Applied Research and Design
APRD 3007,Curiosity for Strategists,APRD,Department of Applied Research and Design
APRD 3008,Qualitative Research Methods,APRD,Department of Applied Research and Design
APRD 3009,Brand Solutions,APRD,Department of Applied Research and Design
APRD 3010,Consumer Insights,APRD,Department of Applied Research and Design
APRD 3100,User Experience & User Interface Design,APRD,Department of Applied Research and Design
APRD 3102,Story Design I,APRD,Department of Applied Research and Design
APRD 3103,Strategic Writing for Public Relations,APRD,Department of Applied Research and Design
APRD 3104,Digital Storytelling for Public Relations,APRD,Department of Applied Research and Design
APRD 3105,Public Relations Strategy and Implementation,APRD,Department of Applied Research and Design
APRD 3112,International Public Relations,APRD,Department of Applied Research and Design
APRD 3300,Crisis Communication in Public Relations,APRD,Department of Applied Research and Design
APRD 3301,Social Media Strategies,APRD,Department of Applied Research and Design
APRD 3302,Case Studies in Public Relations,APRD,Department of Applied Research and Design
APRD 3400,Concept Design,APRD,Department of Applied Research and Design
APRD 3401,Concept Design II,APRD,Department of Applied Research and Design
APRD 3402,Video Design,APRD,Department of Applied Research and Design
APRD 3500,Story Design II,APRD,Department of Applied Research and Design
APRD 3501,Software Applications 2,APRD,Department of Applied Research and Design
APRD 3503,Concepting,APRD,Department of Applied Research and Design
APRD 3504,Software Applications 3,APRD,Department of Applied Research and Design
APRD 3523,The Art and Strategy of Science Communication: Branding Climate Change,APRD,Department of Applied Research and Design
APRD 3700,Field Study in Strategic Communication,APRD,Department of Applied Research and Design
APRD 4000,Public Relations Event Planning,APRD,Department of Applied Research and Design
APRD 4010,Strategic Health Communication,APRD,Department of Applied Research and Design
APRD 4100,Brands and Culture,APRD,Department of Applied Research and Design
APRD 4101,Advertising Media Planning,APRD,Department of Applied Research and Design
APRD 4102,Sustainable Brand Practices: Ethics Cases in Advertising and PR,APRD,Department of Applied Research and Design
APRD 4300,Strategic Communication Analytics and Metrics,APRD,Department of Applied Research and Design
APRD 4301,Social Media Listening,APRD,Department of Applied Research and Design
APRD 4302,Marketing Data Visualization,APRD,Department of Applied Research and Design
APRD 4303,Search Advertising Strategies,APRD,Department of Applied Research and Design
APRD 4403,Strategic Communication Campaigns,APRD,Department of Applied Research and Design
APRD 4404,Advanced Ad Campaigns NSAC,APRD,Department of Applied Research and Design
APRD 4405,Strategic Communication Capstone,APRD,Department of Applied Research and Design
APRD 4406,Advanced PR Campaigns BATEMAN COMPETITION,APRD,Department of Applied Research and Design
APRD 4453,Advertising and Society,APRD,Department of Applied Research and Design
APRD 4501,Design for Social Innovation,APRD,Department of Applied Research and Design
APRD 4503,Portfolio 1,APRD,Department of Applied Research and Design
APRD 4504,Copywriting Seminar,APRD,Department of Applied Research and Design
APRD 4505,Art Direction Seminar,APRD,Department of Applied Research and Design
APRD 4506,Creative Track Portfolio Development I,APRD,Department of Applied Research and Design
APRD 4507,Creative Track Portfolio Development II,APRD,Department of Applied Research and Design
APRD 4523,Portfolio 2,APRD,Department of Applied Research and Design
APRD 4543,Strategic Brand Management,APRD,Department of Applied Research and Design
APRD 4600,Media Design Portfolio I,APRD,Department of Applied Research and Design
APRD 4601,Media Design Portfolio II,APRD,Department of Applied Research and Design
APRD 4700,Advertising Intensive,APRD,Department of Applied Research and Design
APRD 4841,Undergraduate Independent Study,APRD,Department of Applied Research and Design
APRD 4873,Special Topics,APRD,Department of Applied Research and Design
APRD 4931,Internship,APRD,Department of Applied Research and Design
APRD 5001,Foundations of Strategic Brand Design,APRD,Department of Applied Research and Design
APRD 5002,Experience Design Foundations,APRD,Department of Applied Research and Design
APRD 5003,Toward a Unified Theory of Brand Equity,APRD,Department of Applied Research and Design
APRD 5004,UX and the Digital Delivery of Products and Services,APRD,Department of Applied Research and Design
APRD 5005,Foundations of Critical Making,APRD,Department of Applied Research and Design
APRD 5006,Introduction to Designing for Entrepreneurism,APRD,Department of Applied Research and Design
APRD 5007,Immersive Media Design Through Critical Making,APRD,Department of Applied Research and Design
APRD 5008,Access to Tools for Entrepreneurism by Design,APRD,Department of Applied Research and Design
APRD 5010,Design Sprint,APRD,Department of Applied Research and Design
APRD 5011,Book Lab,APRD,Department of Applied Research and Design
