CourseId,CourseName,DepartmentId,DepartmentName,Desc,Pre,Mode,CourseKeywords,CourseKeyPhrases,CourseSummary,CourseDifficulty,CourseDifficultyBand
ENGL 5169,"Multicultural/Postcolonial Studies: Sound Study, Race, Indigeneity",ENGL,Department of English,"Introduces graduate level study of ethnic American and/or postcolonial writing in English, including relevant theoretical discourse.  Emphasizes a wide range of genres, forms, historical background, and secondary criticism.  Cultivates research skills necessary for advanced graduate study. Topics will vary.  May be repeated up to 6 total credit hours.",[],['person'],"['graduate', 'writing', 'postcolonial', 'study', 'discourse', 'english']","['postcolonial writing english', 'american postcolonial writing', 'postcolonial writing', 'graduate study', 'graduate level study', 'writing english including', 'graduate study topics', 'graduate']","Emphasizes a wide range of genres, forms, historical background, and secondary criticism. Topics will vary. Introduces graduate level study of ethnic American and/or postcolonial writing in English, including relevant theoretical discourse.",0.5573813841039589,Medium
CLAS 5129,Aegean Art and Archaeology,CLAS,Department of Classics,"Detailed study of the cultures of prehistoric Greece, the Cycladic Islands and Crete, their art and archaeology and their history within the broader context of the eastern Mediterranean, from earliest human settlement to the collapse of the Bronze Age at about 1100 B.C.E. Emphasis is on palace states. Same as CLAS 4129 and ANTH 4129 and ANTH 5129 and ARTH 4129.",[],['person'],"['crete', 'archaeology', 'greece', 'mediterranean', 'prehistoric', 'cultures']","['prehistoric greece cycladic', 'cultures prehistoric greece', 'prehistoric greece', 'crete art archaeology', 'greece cycladic', 'greece cycladic islands', 'eastern mediterranean earliest', 'cultures prehistoric']","Emphasis is on palace states. Same as CLAS 4129 and ANTH 4129 and ANTH 5129 and ARTH 4129. Detailed study of the cultures of prehistoric Greece, the Cycladic Islands and Crete, their art and archaeology and their history within the broader context of the eastern Mediterranean, from earliest human settlement to the collapse of the Bronze Age at about 1100 B.C.E.",0.5890752493200362,Medium
ECEN 5341,Bioelectromagnetics,ECEN,"Department of Electrical, Computer, and Energy Engineering",Effects of electric and magnetic fields on biological systems are described with applications to therapy and safety. The complexity of biological systems is described to provide a better understanding of the distribution of fields inside the body. Risk analysis is also introduced. Same as ECEN 4341.,[],['person'],"['magnetic', 'biological', 'fields', 'electric', 'body', 'systems']","['magnetic fields biological', 'fields biological', 'fields biological systems', 'electric magnetic fields', 'effects electric magnetic', 'magnetic fields', 'electric magnetic', 'biological systems']",The complexity of biological systems is described to provide a better understanding of the distribution of fields inside the body. Effects of electric and magnetic fields on biological systems are described with applications to therapy and safety. Risk analysis is also introduced.,0.5691674221819281,Medium
ATLS 6910,Social Impact Practicum,ATLS,Department of Atlas Institute,"This practicum allows Social Impact MS students to synthesize what they have learned and test their readiness for a career in Social Impact. Practicum assignments are arranged under the supervision of the MS Program Director and involve work with a non-governmental organization, development agency or technology/policy entity. Successful completion is required for graduation from the Social Impact MS Program.","['ATLS 5210', 'ATLS 5240', 'ATLS 5230', 'ATLS 5250', 'ATLS 5220']",['person'],"['practicum', 'social', 'ms', 'assignments', 'impact', 'students']","['social impact practicum', 'impact practicum assignments', 'social impact ms', 'practicum allows social', 'impact practicum', 'impact ms students', 'practicum assignments', 'impact ms program']","This practicum allows Social Impact MS students to synthesize what they have learned and test their readiness for a career in Social Impact. Successful completion is required for graduation from the Social Impact MS Program. Practicum assignments are arranged under the supervision of the MS Program Director and involve work with a non-governmental organization, development agency or technology/policy entity.",0.6464944091870655,Medium
BCHM 5491,Modern Biophysical Methods,BCHM,Department of Biochemistry,"Covers the basic theory of biophysical methods widely employed in biochemistry and biology, including: electrophoresis, mass spec, calorimetry, evanescent waves, plasmon resonance, Xray diffraction, absorbance and fluorescence spectroscopy, magnetic resonance, electron and optical microscopy and single molecule methods. Discusses ways to maximize rigor and reproducibility in biophysical studies. Same as BCHM 4491. Department enforced prerequisites: undergraduate chemistry (general, organic, physical), biochemistry, physics, calculus.",[],['person'],"['biophysical', 'biochemistry', 'spectroscopy', 'biology', 'electrophoresis', 'microscopy']","['biophysical methods widely', 'biophysical methods', 'theory biophysical methods', 'biophysical studies', 'basic theory biophysical', 'theory biophysical', 'biophysical', 'physical biochemistry']","Covers the basic theory of biophysical methods widely employed in biochemistry and biology, including: electrophoresis, mass spec, calorimetry, evanescent waves, plasmon resonance, Xray diffraction, absorbance and fluorescence spectroscopy, magnetic resonance, electron and optical microscopy and single molecule methods. Discusses ways to maximize rigor and reproducibility in biophysical studies. Department enforced prerequisites: undergraduate chemistry (general, organic, physical), biochemistry, physics, calculus.",0.7268812330009066,Difficult
ASEN 2802,Aerospace Sciences Lab I,ASEN,Department of Aerospace Engineering Sciences,"Provides an introductory laboratory experience in aerospace sciences, with a focus on statics, structural mechanics, thermodynamics, and aerodynamics. Emphasizes model-based design, experimental data collection, and interpretation of experimental data.","['CSCI 1300', 'ASEN 2702', 'ASEN 2012', 'ASEN 1320', 'CHEN 1310', 'ASEN 2701', 'ECEN 1310']",['person'],"['aerodynamics', 'aerospace', 'mechanics', 'laboratory', 'statics', 'thermodynamics']","['laboratory experience aerospace', 'experience aerospace sciences', 'aerospace sciences', 'aerospace sciences focus', 'experience aerospace', 'thermodynamics aerodynamics', 'aerodynamics', 'aerospace']","Provides an introductory laboratory experience in aerospace sciences, with a focus on statics, structural mechanics, thermodynamics, and aerodynamics. Emphasizes model-based design, experimental data collection, and interpretation of experimental data.",0.7151329706860079,Difficult
JWST 3100,Judaism,JWST,Jewish Studies Program,"Explores Jewish religious experience and its expression in thought, ritual, ethics, and social institutions. Same as RLST 3100.",[],['person'],"['jewish', 'ritual', 'religious', 'ethics', 'rlst', 'social']","['explores jewish religious', 'jewish religious experience', 'jewish religious', 'explores jewish', 'jewish', 'religious experience', 'ritual ethics social', 'religious experience expression']","Explores Jewish religious experience and its expression in thought, ritual, ethics, and social institutions. Same as RLST 3100.",0.4317014203686914,Easy
APRD 7004,Doctoral Professionalization Seminar,APRD,Department of Applied Research and Design,"Introduces you to the university and gives you a chance to think out loud about what your academic future might look like. The course is designed to be responsive to your needs regarding your career, getting a job, getting tenure and teaching. In short, the course prepares you for a career in academia. Same as JRNL 7004.",[],['person'],"['jrnl', 'academia', 'academic', 'teaching', 'university', 'future']","['career academia jrnl', 'academia jrnl', 'academia jrnl 7004', 'jrnl', 'course prepares career', 'jrnl 7004', 'course prepares', 'prepares career academia']","In short, the course prepares you for a career in academia. The course is designed to be responsive to your needs regarding your career, getting a job, getting tenure and teaching. Introduces you to the university and gives you a chance to think out loud about what your academic future might look like.",0.47835448776065276,Medium
EDUC 4902,Student Teaching II,EDUC,Department of Education,"Provides opportunities for practice around classroom community building, instruction, assessment, etc. in partnership with a mentor teacher and public school students. Although experiences will vary depending upon the context, grade level, and school/course placement, in this practicum students will build upon their work in Student Teaching I and take greater responsibility for teaching.","['EDUC 4901', 'EDUC 5355']",['person'],"['practicum', 'teaching', 'mentor', 'teacher', 'classroom', 'students']","['mentor teacher public', 'practicum students', 'partnership mentor teacher', 'placement practicum students', 'mentor teacher', 'responsibility teaching', 'greater responsibility teaching', 'practicum students build']","Provides opportunities for practice around classroom community building, instruction, assessment, etc. in partnership with a mentor teacher and public school students. Although experiences will vary depending upon the context, grade level, and school/course placement, in this practicum students will build upon their work in Student Teaching I and take greater responsibility for teaching.",0.6534829253550921,Medium
EDUC 4710,Elementary Student Teaching for Cultural and Linguistic Diversity 1,EDUC,Department of Education,"This course is the first semester of a year-long, elementary classroom-based internship. Building on prior and concurrent Education courses, candidates are expected to design and deliver culturally and linguistically responsive instruction in collaboration with an experienced elementary teacher, as well as independently. Assignments and the required student teaching seminar support candidates to reflect critically on their practice and learning. Recommendation for a Colorado initial teaching license requires excellent performance in both semesters of student teaching.","['EDUC 4215', 'EDUC 4331', 'EDUC 4205', 'EDUC 4435', 'EDUC 3321', 'EDUC 4455', 'EDUC 4035']",['person'],"['teaching', 'courses', 'classroom', 'semester', 'teacher', 'colorado']","['colorado initial teaching', 'initial teaching license', 'teaching license', 'required student teaching', 'teaching license requires', 'semesters student teaching', 'recommendation colorado initial', 'initial teaching']","Building on prior and concurrent Education courses, candidates are expected to design and deliver culturally and linguistically responsive instruction in collaboration with an experienced elementary teacher, as well as independently. Assignments and the required student teaching seminar support candidates to reflect critically on their practice and learning. This course is the first semester of a year-long, elementary classroom-based internship.",0.7266168026594138,Difficult
